subject,version,judgment_1_nearAfarB,judgment_1_nearAfarC,judgment_1_nearBfarC,judgment_1_farAC,judgment_1_farBC,judgment_1_nearABfarC,judgment_1_nearAfarBC,judgment_2_nearA,judgment_2_farA,judgment_2_nearB,judgment_2_farB,judgment_2_farC,judgment_2_nearAB,judgment_2_nearAfarB,judgment_2_nearAfarC,judgment_chk_nearA,judgment_2_nearBfarC,judgment_chk_farA,judgment_2_farAC,judgment_chk_nearB,judgment_2_farBC,judgment_chk_farB,judgment_2_nearABfarC,judgment_chk_farC,judgment_2_nearAfarBC,judgment_chk_nearAB,judgment_chk_nearAfarB,judgment_chk_nearAfarC,judgment_chk_nearBfarC,judgment_chk_farAC,judgment_chk_farBC,judgment_chk_nearABfarC,judgment_chk_nearAfarBC,judgment_3_nearA,judgment_3_farA,judgment_3_nearB,judgment_3_farB,judgment_3_farC,judgment_3_nearAB,judgment_3_nearAfarB,judgment_3_nearAfarC,judgment_3_nearBfarC,judgment_3_farAC,judgment_3_farBC,judgment_3_nearABfarC,judgment_3_nearAfarBC,judgment_1_nearA,judgment_1_farA,judgment_1_nearB,judgment_1_farB,judgment_1_farC,judgment_1_nearAB
1,1,7,7,5,1,1,6,7,3,1,4,1,7,7,1,2,,6,,4,,3,,6,,2,,,,,,,,,2,5,7,1,5,2,1,2,7,7,1,6,1,7,1,2,5,7,4
2,1,4,7,2,1,6,5,7,2,2,2,3,5,5,1,6,,4,,4,,5,,7,,3,,,,,,,,,4,2,7,1,5,5,1,5,5,6,1,6,1,7,1,3,3,7,4
3,1,5,5,5,1,5,6,5,5,2,5,1,3,7,1,3,,5,,2,,2,,6,,3,,,,,,,,,2,2,7,1,3,5,1,3,5,3,1,4,1,7,1,2,6,5,6
4,1,2,5,1,1,3,6,4,5,1,5,2,6,7,1,5,,5,,4,,2,,7,,2,,,,,,,,,2,2,7,1,5,5,1,4,7,1,1,4,1,7,3,2,1,2,4
5,1,2,3,3,1,3,3,3,3,2,2,2,3,4,1,3,1,2,2,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,2,1,6,1,2,3,1,2,3,2,1,3,2,7,1,3,3,3,4
6,1,4,5,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,4,7,4,4,4,5,3
7,1,5,7,2,1,6,5,6,5,3,5,5,7,6,3,6,,6,,3,,2,,6,,4,,,,,,,,,4,6,7,1,6,4,3,3,7,6,2,4,1,7,1,2,5,7,6
8,1,7,7,5,2,7,6,7,6,1,6,2,6,7,2,6,,7,,5,,2,,7,,6,,,,,,,,,4,4,7,1,3,6,1,3,6,7,2,5,1,7,1,4,6,7,6
9,1,7,7,1,1,6,2,7,5,3,4,1,6,7,1,5,,4,,1,,4,,7,,2,,,,,,,,,2,5,7,1,5,5,1,2,7,7,1,1,1,7,1,1,4,6,2
10,1,3,6,2,2,5,6,5,5,2,6,3,6,7,2,5,,6,,3,,3,,7,,2,,,,,,,,,3,5,7,1,7,5,2,3,6,5,3,5,2,7,1,3,5,6,5
11,1,5,6,2,1,5,3,5,3,1,3,1,4,5,1,4,1,4,5,1,4,1,1,6,1,1,1,1,1,1,1,1,1,1,2,1,4,1,3,2,1,2,4,1,1,3,1,6,1,2,2,5,2
12,1,7,7,2,1,6,4,6,2,2,1,2,3,5,1,2,,6,,2,,3,,6,,2,,,,,,,,,1,2,7,1,2,3,1,1,6,6,1,2,1,7,1,1,6,7,2
13,1,7,7,1,1,7,4,7,1,1,1,1,7,6,1,3,,3,,3,,4,,6,,1,,,,,,,,,1,4,7,1,7,2,1,1,7,7,1,3,1,7,1,1,4,7,2
14,1,7,7,5,2,7,5,7,5,3,4,3,5,7,1,6,2,6,6,3,5,7,3,7,1,5,1,1,2,2,3,1,1,2,5,3,6,1,5,3,1,5,7,6,2,6,1,7,1,3,6,7,5
15,1,4,7,1,1,6,3,7,1,3,1,1,6,5,3,5,1,2,5,2,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,4,7,1,5,3,1,1,5,4,1,1,1,7,1,1,7,7,3
16,1,6,7,3,1,5,3,3,4,2,4,3,7,5,3,6,,5,,3,,3,,5,,4,,,,,,,,,2,2,6,1,7,5,1,2,7,4,1,7,1,7,1,1,3,7,4
17,1,6,7,3,1,7,7,7,5,1,5,2,7,7,2,6,1,6,7,1,5,4,3,7,1,3,2,1,3,2,2,1,1,1,1,5,7,1,6,6,2,2,7,7,1,5,1,7,1,3,5,7,5
18,1,4,6,2,2,6,5,7,5,2,5,3,5,6,2,5,,3,,3,,3,,6,,3,,,,,,,,,5,2,5,1,5,4,2,6,6,6,1,4,2,6,1,2,2,5,4
19,1,3,6,2,4,6,6,6,5,1,5,2,6,7,2,5,,5,,3,,4,,6,,2,,,,,,,,,2,2,6,1,5,6,1,6,6,6,2,3,1,7,1,1,5,5,5
20,1,7,7,3,1,4,5,7,6,1,6,2,7,7,2,7,,5,,1,,2,,7,,5,,,,,,,,,5,2,2,1,7,5,1,5,7,2,1,7,2,7,1,3,4,7,6
