condition,explanation,fullmodel,rationalsupport,simplicity,utility
1,Near A,0.005741376009819151,0.5052410888640853,0.011363636363636364,0.008850008898538693
1,Far C,0.0034205199112788327,0.3010057521925373,0.011363636363636364,0.009388932460790396
1,"Near A, Far C",0.0020294002697968825,0.3693508491030326,0.005494505494505495,0.008818828789126152
1,"Near A, Far B, Far C",0.0011227889191215688,0.34581898708944314,0.003246753246753247,0.006924221710649173
1,"Near A, Far B",0.002106354807842458,0.3833565750273273,0.005494505494505495,0.007178210056760386
1,Far B,0.003348041374666889,0.2946276409706862,0.011363636363636364,0.005995834627943015
1,"Far B, Far C",0.0016395588353712047,0.2983997080375592,0.005494505494505495,0.007438788482464507
1,Far A,8.334662812963821e-4,0.07334503275408162,0.011363636363636364,0.002513627465097672
1,"Near B, Far C",0.0011956155086140945,0.21760202256776517,0.005494505494505495,0.007135124226871262
1,"Near A, Near B, Far C",8.923626326989732e-4,0.27484769087128375,0.003246753246753247,0.006744783741434982
1,"Near A, Near B",0.0014160361337497162,0.2577185763424483,0.005494505494505495,0.0068745458011671414
1,Near B,0.0015473455419475423,0.13616640769138372,0.011363636363636364,0.005367801735693349
1,"Far A, Far C",9.684667894038669e-4,0.17626095567150377,0.005494505494505495,0.005755083920209615
2,Near A,0.0037608370406534996,0.33095365957750794,0.011363636363636364,0.006892393860370835
2,Far C,0.0032064077321593302,0.28216388043002105,0.011363636363636364,0.008828066361949662
2,"Near A, Far C",0.0016466455943098686,0.29968949816439605,0.005494505494505495,0.007601101645957164
2,"Near A, Far B, Far C",8.795083227053291e-4,0.27088856339324136,0.003246753246753247,0.005769057921596007
2,"Near A, Far B",0.0014403559170967442,0.2621447769116074,0.005494505494505495,0.005494505494505495
2,Far B,0.002377624992384482,0.2092309993298344,0.011363636363636364,0.004471242503265529
2,"Far B, Far C",0.0013813964308125141,0.25141415040787757,0.005494505494505495,0.006430435055708445
2,Far A,0.001534278846458311,0.13501653848833137,0.011363636363636364,0.004471242503265529
2,"Near B, Far C",0.0013102341862962455,0.2384626219059167,0.005494505494505495,0.007601101645957164
2,"Near A, Near B, Far C",8.409809234561594e-4,0.25902212442449707,0.003246753246753247,0.006460815452197523
2,"Near A, Near B",0.0013396454109775037,0.24381546479790567,0.005494505494505495,0.006665172084754214
2,Near B,0.002193178894877264,0.1929997427491992,0.011363636363636364,0.006892393860370835
2,"Far A, Far C",0.0011214910278623395,0.20411136707094577,0.005494505494505495,0.006430435055708445
3,Near A,0.00256599301548762,0.22580738536291053,0.011363636363636364,0.005367801735693349
3,Far C,0.0029270338715464803,0.25757898069609025,0.011363636363636364,0.008107900035679658
3,"Near A, Far C",0.0013500120744613156,0.2457021975519594,0.005494505494505495,0.006515723933411125
3,"Near A, Far B, Far C",6.537122957857379e-4,0.20134338710200725,0.003246753246753247,0.0045683797818487654
3,"Near A, Far B",8.816661051956483e-4,0.16046323114560798,0.005494505494505495,0.0038108009322506036
3,Far B,0.0012541404480695168,0.11036435943011748,0.011363636363636364,0.002513627465097672
3,"Far B, Far C",0.0010611667703928403,0.1931323522114969,0.005494505494505495,0.005135683626749478
3,Far A,0.002107691486773189,0.18547685083604065,0.011363636363636364,0.005995834627943015
3,"Near B, Far C",0.0014713295157291074,0.26778197186269753,0.005494505494505495,0.008199428495666017
3,"Near A, Near B, Far C",8.365655842927975e-4,0.2576621999621816,0.003246753246753247,0.006378774477117629
3,"Near A, Near B",0.0014160361337497162,0.2577185763424483,0.005494505494505495,0.0068745458011671414
3,Near B,0.003174856610883063,0.27938738175770955,0.011363636363636364,0.008850008898538693
3,"Far A, Far C",0.0012113403153546191,0.22046393739454065,0.005494505494505495,0.006819388189004369
